Ano;Tipo de Emenda;Autor da emenda;Número da emenda;Localidade do gasto (Regionalização);Função;Subfunção;Programa Orçamentário;Ação Orçamentária;Plano Orçamentário;Código da emenda;Valor empenhado;Valor liquidado;Valor pago;Valor Restos a Pagar Inscritos;Valor Restos a Pagar Cancelados;Valor Restos a Pagar Pagos
2020;Emenda de Comissão;COMISSAO DE EDUCACAO - CE;4;Nacional;Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;0487 - CONCESSAO DE BOLSAS DE ESTUDO NO ENSINO SUPERIOR;CONCESSAO DE BOLSAS DE ESTUDO NO PAIS;2,0205E+11;1.000,00;0;0;1.000,00;1.000,00;0
2020;Emenda de Comissão;COMISSAO DE EDUCACAO - CE;3;Nacional;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;00O0 - CONCESSAO DE BOLSAS DE APOIO A EDUCACAO BASICA;EDUCACAO BASICA PRESENCIAL;2,0205E+11;1.000,00;0;0;1.000,00;1.000,00;0
2020;Emenda Individual - Transferências com Finalidade Definida;MAILZA GOMES;5;ACRE (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;21B3 - FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO, INOVACAO E SUSTENTABILIDADE NA EDUCACAO PROFISSIONAL E TECNOLOGICA;FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO E AO DESENVOLVIMENTO DE POLITICAS, REGULACAO E SUPERVISAO DA EDUCACAO PROFISSIONAL E TECNOLOGICA;2,02039E+11;8.286,00;0;0;8.286,00;0;8.286,00
2020;Emenda Individual - Transferências com Finalidade Definida;DENIS BEZERRA;19;CEARÁ (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS;2,0204E+11;15.105,39;0;0;15.105,39;0;15.105,39
2021;Emenda Individual - Transferências com Finalidade Definida;MARILIA ARRAES;10;PERNAMBUCO (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;2,0214E+11;18.283,34;18.283,34;17.383,34;1.800,00;0;900
2022;Emenda Individual - Transferências com Finalidade Definida;CARMEN ZANOTTO;4;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02229E+11;30.000,00;28.500,00;21.500,00;10.000,00;0;7.000,00
2022;Emenda Individual - Transferências com Finalidade Definida;LUIZIANNE LINS;6;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02237E+11;30.000,00;30.000,00;28.000,00;2.000,00;0;2.000,00
2020;Emenda Individual - Transferências com Finalidade Definida;BETO ROSADO;12;RIO GRANDE DO NORTE (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02031E+11;30.170,70;11.199,66;11.199,66;20.843,28;0;17.098,80
2020;Emenda Individual - Transferências com Finalidade Definida;LUCIANO DUCCI;8;PARANÁ (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02037E+11;33.493,77;33.493,77;33.493,77;0;0;0
2023;Emenda Individual - Transferências com Finalidade Definida;HUMBERTO COSTA;13;PERNAMBUCO (UF);Educação;Ensino profissional;5012 - EDUCACAO PROFISSIONAL E TECNOLOGICA;20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA;2,02329E+11;38.997,44;9.995,44;9.871,44;28.451,10;0;674,9
2022;Emenda Individual - Transferências com Finalidade Definida;LEANDRE;7;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02237E+11;39.000,00;37.350,00;31.350,00;9.300,00;0;6.000,00
2022;Emenda Individual - Transferências com Finalidade Definida;ALCEU MOREIRA;6;RIO GRANDE DO SUL (UF);Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA;APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS;2,02229E+11;47.860,44;0;0;95.720,88;0;0
2022;Emenda Individual - Transferências com Finalidade Definida;WALTER ALVES;7;RIO GRANDE DO NORTE (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR;2,02238E+11;49.912,42;912,42;912,42;49.000,00;0;49.000,00
2022;Emenda Individual - Transferências com Finalidade Definida;DULCE MIRANDA;3;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02231E+11;50.000,00;49.375,00;37.875,00;12.125,00;0;12.125,00
2022;Emenda Individual - Transferências com Finalidade Definida;TEREZA NELMA;8;Nacional;Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02242E+11;50.000,00;50.000,00;39.140,00;10.860,00;0;10.860,00
2023;Emenda Individual - Transferências com Finalidade Definida;PROFESSORA ROSA NEIDE;7;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02341E+11;50.000,00;0;0;0;0;50.000,00
2022;Emenda Individual - Transferências com Finalidade Definida;PROFESSORA ROSA NEIDE;5;DISTRITO FEDERAL (UF);Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02241E+11;50.000,00;50.000,00;50.000,00;0;0;0
2022;Emenda Individual - Transferências com Finalidade Definida;ERIKA KOKAY;3;Nacional;Educação;Ensino superior;5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO;FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS;2,02228E+11;50.000,00;45.000,00;43.000,00;7.000,00;0;7.000,00
2020;Emenda Individual - Transferências com Finalidade Definida;MARRECA FILHO;5;TUFILÂNDIA - MA;Educação;Educação básica;5011 - EDUCACAO BASICA DE QUALIDADE;0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA;APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS;2,02041E+11;51.254,66;0;0;102.509,32;0;0
